Company,Trainee,ID,Age,Evaluation1,Evaluation2,Ep1_Rank,Ep2_Rank,Ep3_Rank,Ep5_Rank,Ep5_Votes,Ep8_Rank,Ep8_Votes,Ep10_Rank,Ep10_Votes,Ep11_Rank,Ep11_Votes,Final_Rank,I.O.I
Music Works_(____),Kim So-hee_(___),55,21,C,C,13,17,24,23,109501,22,363818,6,54538,15,128527,15,0
RedLine Entertainment,Kim So-hye_(___)26,56,17,F,F,24,18,16,11,227670,8,833101,4,94189,5,229732,5,1
Blessing Entertainment (___),Kim Sol-ee (___),57,15,F,F,98,95,96,92,19899,,,,,,,92,0
Mystic Entertainment_(___),Kim Su-hyun (___),58,16,C,D,41,47,47,69,26139,,,,,,,69,0
Starship Entertainment_(___),Kim Tae-ha (___)29,59,18,B,D,17,19,27,33,64149,50,117208,,,,,50,0
Happy Face Entertainment_(_____),Kim Woo-jung (___),60,24,B,C,67,90,82,74,23795,,,,,,,74,0
Midas Entertainment,Kim Yeon-kyeong (___),61,20,B,C,75,83,88,52,38506,58,74668,,,,,58,0
Star Empire Entertainment,Kim Yun-ji (___),62,20,C,B,94,94,78,84,21206,,,,,,,84,0
Cube Entertainment,Kwon Eun-bean_(___)7,63,16,A,D,10,10,12,16,179721,25,310972,35,2353,,,35,0
Midas Entertainment,Lee Chae-lin (___),64,17,D,D,74,93,91,87,20868,,,,,,,87,0
SS Entertainment,Lee Hae-in_(___),65,22,C,A,19,27,34,40,52494,14,461050,14,31059,17,116566,17,0
Kconic Entertainment,Lee Jin-hee (___)15,66,25,D,F,83,65,46,47,41286,54,99712,,,,,54,0
Next Level Entertainment,Lee Se-heun (___),67,17,B,C,86,92,89,93,18731,,,,,,,93,0
LOUDers Entertainment,Lee Seo-jeong (___),68,16,F,D,100,96,95,85,21018,,,,,,,85,0
Fantagio_(____),Lee Soo-min (___),69,17,F,A,89,87,77,45,43932,34,243513,31,6749,,,31,0
Happy Face Entertainment_(_____),Lee Su-hyeon (___),70,20,D,B,71,89,94,79,21762,,,,,,,79,0
SS Entertainment,Lee Su-hyun_(___),71,20,D,A,14,23,25,32,65610,35,228806,22,14613,13,133900,13,0
Cube Entertainment,Lee Youn-seo (___),72,14,F,B,18,21,29,38,56821,59,73702,,,,,59,0
CMG Chorok Stars (CMG___),Lim Hyo-sun (___)6,73,18,,,54,38,,,,,,,,,,,1
YAMA&HOTCHICKS Entertainment,Lim Jung-min (___),74,16,B,B,31,35,35,53,36760,57,88074,,,,,57,0
Pledis Entertainment_(____),Lim Na-young_(___),75,21,B,A,32,31,33,24,107785,11,665898,9,48110,10,138726,10,1
Clear Company (___ ___),Ma Eun-jin (___)5,76,19,,,65,36,,,,,,,,,,,0
Nextar Entertainment (___),Moon Hyun-ju (___),77,18,F,F,59,101,87,97,16736,,,,,,,97,0
Magic Fresh Company (_____ ___),Nam Su-jin (___),78,21,C,C,82,76,81,91,20189,,,,,,,91,0
Chorokbaem Juna (_____),Ng Sze Kai_(_ _ __)3,79,22,B,B,53,52,19,17,176067,28,298495,23,14138,,,23,0
MAJESTY,Niwa Shiori (__ ___),80,22,D,B,68,69,71,77,23045,,,,,,,77,0
Blessing Entertainment (___),Oh Han-areum (____),81,18,F,F,66,85,92,83,21245,,,,,,,83,0
M&H,Oh Seo-jung (___)18,82,21,B,A,51,42,31,41,51381,49,117986,,,,,49,0
Astory Entertainment (____),Park Ga-eul (___),83,17,B,C,87,100,75,46,41873,52,103784,,,,,52,0
Cani Star Entertainment (____),Park Ha-yi (___),84,28,F,D,43,50,50,54,34459,51,106057,,,,,51,0
2able Company (____ ___),Park Hae-young (___),85,18,A,B,97,81,79,43,47662,38,172797,,,,,38,0
Magic Fresh Company (_____ ___),Park Min-ji (___),86,17,B,A,70,82,85,71,24772,,,,,,,71,0
Kconic Entertainment,Park Se-hee (___)14,87,23,C,F,60,58,48,49,41203,43,133442,,,,,43,0
Pledis Entertainment_(____),Park Si-yeon_(___),88,16,B,B,27,33,40,26,105963,20,372295,25,11009,,,25,0
LOEN Entertainment_(__),Park So-yeon (___)16,89,17,A,A,30,26,21,20,156148,30,289217,17,23575,18,100001,18,0
M2 Project,Pyun Kang-yoon (___)19,90,24,F,F,95,75,68,78,21908,,,,,,,78,0
SS Entertainment,Seo Hye-lin (___),91,21,F,D,25,32,44,65,27333,,,,,,,65,0
Individual Trainee_(__ ___),Seong Hye-min (___),92,27,D,F,39,51,53,55,33641,24,329366,28,7129,,,28,0
Starship Entertainment_(___),Shim Chae-eun (___),93,17,C,F,40,46,51,58,30347,60,72460,,,,,60,0
Midas Entertainment,Shin Hye-hyeon (___),94,17,F,C,85,86,93,90,20752,,,,,,,90,0
Astory Entertainment (____),Yim Kyung-ha (___)2,95,19,,,88,48,,,,,,,,,,,0
&August Entertainment,Yoon Seo-hyeung (___),96,21,F,D,58,25,22,29,73558,37,187021,,,,,37,0
MJ Entertainment,Yu Su-a (___),97,19,A,D,64,78,65,57,30609,53,100141,,,,,53,0
Starship Entertainment_(___),Yu Yeun-jung_(___),98,17,B,A,63,54,55,12,214691,10,684660,10,45985,11,136780,11,1
DSP Media,Yun Chae-kyoung_(___)8,99,20,D,C,15,14,15,21,149977,15,460700,7,53255,16,128454,16,0
FM Entertainment,Yun Yu-dam (___),100,19,B,D,79,99,76,95,18206,,,,,,,95,0
Pledis Entertainment_(____),Zhou Jieqiong_(___),101,18,A,A,3,4,6,4,387537,6,885556,19,19252,6,218338,6,1
