Company,Name,Age,Evaluation1,Evaluation2,Ep1_Rank,Ep2_Rank,Ep3_Rank,Ep4_Rank,Ep4_Votes
Starship Entertainmentæ(___),Lee Gwang-hyun (___)14,20,B,C,45,47,40,34,3039
Starship Entertainmentæ(___),Jung Se-woon (___)15,21,B,B,13,17,11,30,3046
STL Entertainment (____),Choi Jun-young (___)16,22,B,C,82,98,81,41,3028
The Jackie Chan Group Korea (_________),Kim Chan-yul (___)17,26,F,F,93,90,96,95,7
The Jackie Chan Group Korea (_________),Choi Ha-don (___)17,25,D,F,73,86,91,69,51
The Vibe Label (_______),Kim Tae-dong (___)18,21,F,A,37,45,28,2,3180
The Vibe Label (_______),Seong Hyun-woo (___),22,C,B,54,67,84,44,3021
The Vibe Label (_______),Yoon Jae-chan (___),19,B,C,67,55,60,69,51
The Vibe Label (_______),Ha Min-ho (___),20,B,C,50,63,63,77,31
Total Set (___),Yoo Kyoung-mok (___)19,24,D,C,78,62,74,18,3093
Wayz Company (___ ___),Jeong Joong-ji (___),26,F,F,64,77,59,93,13
WH Creative,Seo Sung-hyuk (___),19,D,D,95,88,95,87,23
Widmay (____),Kim Ye-hyeon (___),19,F,C,71,93,34,77,31
Wings Entertainment (__),Kim Yong-jin (___),21,D,F,88,84,61,88,22
YGKPlusæ(YG_____),Kwon Hyun-bin (___),21,F,F,16,20,22,5,3142
YGKPlusæ(YG_____),Kim Hyeon-woo (___),20,F,C,66,82,89,67,58
YGKPlusæ(YG_____),Lee Hoo-lim (___),26,D,B,62,68,76,85,25
YGKPlusæ(YG_____),Jeong Hyo-jun (___),26,F,F,36,44,54,68,54
Yuehua Entertainmentæ(___),Ahn Heong-seop (___),19,D,A,7,7,5,3,3163
Yuehua Entertainmentæ(___),Lee Eui-woong (___)20,17,C,D,9,10,14,33,3044
Yuehua Entertainmentæ(___),Justin (___),16,C,D,18,21,26,12,3106
Yuehua Entertainmentæ(___),Zhu Zheng-ting (__),22,C,D,31,29,42,45,3019
Yuehua Entertainmentæ(___),Choi Seung-hyeok (___),19,D,D,70,76,64,66,61
